title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Cơm Ngon,osm-node-10219253935,21.0813579,105.7719273,Nhà hàng,"Sông Nhuệ, Bắc Từ Liêm, Phường Đức Thắng",0.0,0.0,0.0,0.0,0.0
iMeatU Korea BBQ,osm-node-10245908053,21.0269786,105.8241813,Nhà hàng,"116K1, Phố Giảng Võ, Ba Đình, Hà Nội",0.0,0.25,0.5,0.0,0.0
Bánh bao Bình Mỗ,osm-node-10264303109,21.0293084,105.8464797,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Pho Gon,osm-node-10281779509,21.0213052,105.8560894,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Phở bưng Hàng Trống,osm-node-10298555575,21.0313423,105.8493056,Nhà hàng,"8, Phố Hàng Trống, Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Miến trộn mực,osm-node-10298693325,21.0333264,105.852783,Nhà hàng,"Ngõ Trung Yên, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bánh cuốn gia truyền thanh vân,osm-node-10298693328,21.0362825,105.8470163,Nhà hàng,"14, Phố Hàng Gà, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Phở Lâm,osm-node-10298693329,21.0356438,105.846433,Nhà hàng,"48, Phố Hàng Vải, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Quan banh con Thanh van,osm-node-10557047309,21.0181861,105.8519116,Nhà hàng,Phố Lê Văn Hưu,0.0,0.0,0.0,0.0,0.0
Bún Ốc Hương Xưa,osm-node-10628095751,20.9878992,105.7510054,Nhà hàng,"10-LK45, Khu đất dịch vụ LK16, LK17, LK 18a,LK18b, Hà Đông, Hà Nội",0.0,0.0,0.0,0.0,0.0
Vi Lai,osm-node-10676070107,21.0240772,105.8455937,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
O Bun Cha,osm-node-10734202162,21.0339076,105.8543042,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
